TAXID,Command,Ethnicity
975311,043 PRECINCT,HISPANIC
932232,TRANSIT DISTRICT 33,WHITE
949959,HATE CRIMES UNIT,HISPANIC
942360,AUXILIARY POLICE SECT,WHITE
941315,NARC BORO BRONX,HISPANIC
949951,009 DET SQUAD,WHITE
954456,HIGHWAY UNIT 3,WHITE
959436,CEIS BUSINESS INTEGRITY COM,HISPANIC
964359,HOUSING PSA 7,BLACK
948587,NARC BORO BRONX,HISPANIC
921101,FAS EXEMPT HARDSHIP,WHITE
978343,044 PRECINCT,BLACK
945455,PBMS GR LARC/PICKPOCKET TEAM,BLACK
968913,048 PRECINCT,HISPANIC
981008,RTS RECRUITS,BLACK
944936,INTERNAL AFFAIRS BUREAU,HISPANIC
949835,OPERATIONS & ANALYSIS SECTION,WHITE
971786,083 PRECINCT,HISPANIC
977014,073 PRECINCT,ASIAN
974701,020 PRECINCT,HISPANIC
969446,028 PRECINCT,HISPANIC
970367,078 PRECINCT,HISPANIC
937938,DET BORO MAN NO HOMICIDE SQ,HISPANIC
941306,108TH DET SQUAD,WHITE
964362,084 PRECINCT,WHITE
936668,DET BORO QUEENS NORTH,WHITE
969445,026 PRECINCT,WHITE
968914,041 PRECINCT,WHITE
934371,COMMUNICATIONS DIV,HISPANIC
969454,114 PRECINCT,WHITE
960125,TRANSIT DISTRICT 4,ASIAN
951476,FLEET SERVICES DIVISION,WHITE
962202,MANH ROBBERY SQUAD,ASIAN
937949,045 DET SQUAD,HISPANIC
979615,102 PRECINCT,BLACK
961485,009 PRECINCT,HISPANIC
982069,RTS RECRUITS,BLACK
907685,120 PRECINCT,WHITE
936095,009 DET SQUAD,HISPANIC
948590,023 DET SQUAD,HISPANIC
955706,CHIEF CRIME CONTROL STRATEGIES,WHITE
937950,JOINT TERRORIST TASK FORCE,WHITE
977714,TRANSIT DISTRICT 20,BLACK
939847,078 PRECINCT,WHITE
981005,RTS RECRUITS,WHITE
981000,RTS RECRUITS,BLACK
964863,TRANSIT DISTRICT 32,BLACK
959437,AUTO CRIME UNIT,HISPANIC
973891,HOUSING PSA 2,WHITE
941307,028 PRECINCT,WHITE
960115,PBBS COMMUNITY AFFAIRS SECTION,WHITE
968915,120 PRECINCT,WHITE
972499,MANHATTAN COURT SECTION,ASIAN
979020,017 PRECINCT,BLACK
958214,INTEL CIS FIO PROGRAM,ASIAN
949966,PBSI COMMUNITY AFFAIRS SECTION,WHITE
968916,HIGHWAY UNIT 5,WHITE
980342,041 PRECINCT,ASIAN
934363,CRIME SCENE UNIT,ASIAN
936093,COURT MONITORING UNIT 2 (MN/BX/QS/QN),WHITE
968209,050 PRECINCT,HISPANIC
953617,090 PRECINCT,BLACK
955701,047 DET SQUAD,WHITE
961597,108TH DET SQUAD,HISPANIC
963833,TRANSIT BORO MAN TASK FORCE,WHITE
942927,CEIS VIOLENT GANG TASK FORCE,WHITE
974704,MILITARY & EXTENDED LEAVE DESK,ASIAN
966417,HOUSING PSA 8,HISPANIC
959440,113 PRECINCT,BLACK
936098,CRITICAL RESPONSE COMMAND,BLACK
954465,PATROL BORO MAN NORTH,HISPANIC
973886,CCCS JUVENILE CRIME DESK,HISPANIC
956362,WARRANT SECTION,WHITE
981016,RTS RECRUITS,ASIAN
969450,024 PRECINCT,HISPANIC
982073,RTS RECRUITS,WHITE
936104,120 PRECINCT,BLACK
953622,IAB INVESTIGATIONS UNIT 34,ASIAN
958215,105 PRECINCT,WHITE
972500,HOUSING PSA 5,ASIAN
982074,RTS RECRUITS,HISPANIC
972490,MILITARY & EXTENDED LEAVE DESK,HISPANIC
949969,102 PRECINCT,BLACK
934370,PATROL BORO BRONX,BLACK
974703,033 PRECINCT,ASIAN
979674,123 PRECINCT,BLACK
941321,INTERNAL AFFAIRS BUREAU,WHITE
978849,109 PRECINCT,ASIAN
982075,RTS RECRUITS,HISPANIC
963839,PATROL SERVICES BUREAU,ASIAN
977718,TRANSIT DISTRICT 4,ASIAN
969451,032 PRECINCT,HISPANIC
971782,HOUSING PSA 8,HISPANIC
940950,TRANSIT DISTRICT 2,WHITE
962911,NARC BORO QUEENS NORTH,HISPANIC
978351,067 PRECINCT,ASIAN
977461,032 PRECINCT,ASIAN
949973,070 PRECINCT,ASIAN
980345,HOUSING PSA 8,ASIAN
973199,TIMES SQUARE UNIT,WHITE
960131,068 PRECINCT,WHITE
961600,STRATEGIC RESP GRP 4 QUEENS,ASIAN
919976,STRATEGIC RESPONSE GROUP,WHITE
941323,HOUSING PSA 1,ASIAN
949961,QUEENS STANDARDS & ASSESSMENTS UNIT,WHITE
952385,MEDICAL DIVISION,WHITE
952384,110 PRECINCT,WHITE
948591,PBQS COMMUNITY AFFAIRS SECTION,WHITE
970369,122 PRECINCT,WHITE
960130,HIGHWAY UNIT 1,WHITE
958216,001 PRECINCT,WHITE
977019,HOUSING PSA 5,ASIAN
946719,BRONX ROBBERY SQUAD,HISPANIC
965920,WARRANT SECTION,BLACK
940184,MANAGEMENT ANALYSIS SECTION,HISPANIC
937937,SSD YOUTH RESPONSE TEAM,HISPANIC
956365,INTERNAL AFFAIRS BUREAU,HISPANIC
972498,TRANSIT DISTRICT 4,HISPANIC
954459,WARRANT SECTION,HISPANIC
974700,013 PRECINCT,HISPANIC
951477,TB ANTI TERRORISM BKLYN,HISPANIC
970964,DET BORO MANHATTAN NORTH,HISPANIC
978350,MANHATTAN COURT SECTION,WHITE
960129,TRANSIT DISTRICT 34,WHITE
971788,TRANSIT DISTRICT 30,ASIAN
948140,COURT MONITORING UNIT 1 (MS/BS/BN/SI),WHITE
961594,IN-SERVICE TRAINING SECTION,WHITE
977710,034 PRECINCT,HISPANIC
973885,052 PRECINCT,HISPANIC
945450,105 PRECINCT,WHITE
971780,048 PRECINCT,HISPANIC
960124,TRANSIT DISTRICT 11,HISPANIC
942926,BS CRIME ANALYSIS UNIT,BLACK
972493,023 PRECINCT,HISPANIC
971781,115 PRECINCT,HISPANIC
978349,TRANSIT DISTRICT 20,ASIAN
968886,SSD YOUTH RESPONSE TEAM,BLACK
933596,IAB GROUP 42,ASIAN
948584,078 PRECINCT,HISPANIC
978345,005 PRECINCT,HISPANIC
973194,MILITARY & EXTENDED LEAVE DESK,HISPANIC
947962,122 PRECINCT,WHITE
969458,CRIME PREVENTION DIVISION,HISPANIC
982082,RTS RECRUITS,ASIAN
934368,018 PCT-MIDTOWN NO. PCT,WHITE
963830,023 PRECINCT,HISPANIC
951479,084 PRECINCT,HISPANIC
977717,104 PRECINCT,HISPANIC
958213,HOUSING PSA 7,HISPANIC
975312,109 PRECINCT,HISPANIC
966924,048 DET SQUAD,HISPANIC
941311,STRATEGIC RESP GRP 2 BRONX,HISPANIC
980344,047 PRECINCT,HISPANIC
954457,TRANSIT BUREAU,HISPANIC
964856,TRANSIT DISTRICT 33,HISPANIC
956367,LEGAL BUREAU,HISPANIC
981004,RTS RECRUITS,HISPANIC
965647,108 PRECINCT,BLACK
977713,TRANSIT DISTRICT 11,HISPANIC
945451,INTERNAL AFFAIRS BUREAU,HISPANIC
947965,BRONX COURT SECTION,WHITE
956364,BROOKLYN CHILD ABUSE SQUAD,HISPANIC
967739,QUEENS WARRANT SQD,HISPANIC
969449,032 PRECINCT,HISPANIC
905654,088 PRECINCT,BLACK
969463,TRANSIT DISTRICT 33,ASIAN
959780,HOUSING PSA 3,HISPANIC
971298,047 PRECINCT,HISPANIC
959446,019 PRECINCT,ASIAN
979019,050 PRECINCT,HISPANIC
977016,102 PRECINCT,ASIAN
955705,POLICE ACTION LITIGATION SECTION,HISPANIC
980790,077 PRECINCT,ASIAN
966419,077 PRECINCT,ASIAN
966920,PBBS COMMUNITY RESPONSE TEAM,WHITE
939845,CRIMINAL INTELLIGENCE SECTION,ASIAN
921104,CRITICAL RESPONSE COMMAND,HISPANIC
967742,090 PRECINCT,ASIAN
970368,NARC BORO QUEENS SOUTH,HISPANIC
968910,TRANSIT DISTRICT 1,ASIAN
948580,007 PRECINCT,BLACK
959444,TRANSIT DISTRICT 34,ASIAN
945459,001 PRECINCT,HISPANIC
971303,072 PRECINCT,ASIAN
966923,102 PRECINCT,HISPANIC
973890,006 PRECINCT,ASIAN
971775,019 PRECINCT,HISPANIC
934374,STATEN ISLAND OPER NIGHT WATCH,HISPANIC
960133,HOUSING PSA 3,ASIAN
961599,PATROL BORO MAN SOUTH,WHITE
929595,017 DET SQUAD,WHITE
951475,INTERNAL AFFAIRS BUREAU,WHITE
981007,RTS RECRUITS,HISPANIC
975265,116 PRECINCT,HISPANIC
956363,HOUSING PSA 2,WHITE
972491,106 PRECINCT,WHITE
981013,RTS RECRUITS,HISPANIC
973191,062 PRECINCT,WHITE
975315,071 PRECINCT,WHITE
981014,034 PRECINCT,HISPANIC
957317,PROPERTY CLERK DIVISION,ASIAN
961589,PSB COMMUNITY RESPONSE TEAM,WHITE
969460,PBQS COMMUNITY RESPONSE TEAM,ASIAN
966927,TRANSIT DISTRICT 32,ASIAN
934362,BROOKLYN COURT SECTION,BLACK
977017,013 PRECINCT,ASIAN
949948,HOUSING PSA 2,HISPANIC
954337,TRANSIT DISTRICT 20,WHITE
957318,TRANSIT DISTRICT 2,WHITE
958222,WAREHOUSE SYSTEM,ASIAN
973892,MILITARY & EXTENDED LEAVE DESK,HISPANIC
960128,043 PRECINCT,HISPANIC
926532,MANHATTAN COURT SECTION,HISPANIC
934373,040 PRECINCT,HISPANIC
956371,UNIFORMED OPERATIONS UNIT,ASIAN
952383,044 PRECINCT,HISPANIC
976567,060 PCT CONEY ISLAND DETAIL,WHITE
977015,034 PRECINCT,HISPANIC
